id	pr_analyte_id	pr_analyte_num	pr_bset_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_bing	pr_is_inf	pr_is_lmark	pr_lua_id	pr_model_id	pr_pool_id
200814_at	Analyte 11	11	dp52	5720	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	1	1	Y	LUA-3404	-666	epsilon
218597_s_at	Analyte 12	12	dp52	55847	CISD1	CDGSH iron sulfur domain 1	1	1	Y	LUA-3431	-666	epsilon
217140_s_at	Analyte 12	12	dp53	7416	VDAC1	voltage-dependent anion channel 1	1	1	Y	LUA-4000	-666	epsilon
209253_at	Analyte 13	13	dp53	10174	SORBS3	sorbin and SH3 domain containing 3	1	1	Y	LUA-4040	-666	epsilon
214404_x_at	Analyte 13	13	dp52	25803	SPDEF	SAM pointed domain containing ets transcription factor	1	1	Y	LUA-1326	-666	epsilon
222103_at	Analyte 14	14	dp52	466	ATF1	activating transcription factor 1	1	1	Y	LUA-3660	-666	epsilon
219888_at	Analyte 14	14	dp53	6676	SPAG4	sperm associated antigen 4	1	1	Y	LUA-4029	-666	epsilon
207042_at	Analyte 15	15	dp53	1870	E2F2	E2F transcription factor 2	1	1	Y	LUA-3976	-666	epsilon
201453_x_at	Analyte 15	15	dp52	6009	RHEB	Ras homolog enriched in brain	1	1	Y	LUA-3487	-666	epsilon
203627_at	Analyte 16	16	dp52	3480	IGF1R	insulin-like growth factor 1 receptor	1	1	Y	LUA-3564	-666	epsilon
204087_s_at	Analyte 16	16	dp53	8884	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	1	1	Y	LUA-314	-666	epsilon
204131_s_at	Analyte 17	17	dp52	2309	FOXO3	forkhead box O3	1	1	Y	LUA-4141	-666	epsilon
202388_at	Analyte 17	17	dp53	5997	RGS2	regulator of G-protein signaling 2, 24kDa	1	1	Y	LUA-422	-666	epsilon
204418_x_at	Analyte 18	18	dp52	2946	GSTM2	glutathione S-transferase mu 2 (muscle)	1	1	Y	LUA-3542	-666	epsilon
205607_s_at	Analyte 18	18	dp53	57147	SCYL3	SCY1-like 3 (S. cerevisiae)	1	1	Y	LUA-300	-666	epsilon
200059_s_at	Analyte 19	19	dp52	387	RHOA	ras homolog gene family, member A	1	1	Y	LUA-3488	-666	epsilon
213417_at	Analyte 19	19	dp53	6909	TBX2	T-box 2	1	1	Y	LUA-542	-666	epsilon
205963_s_at	Analyte 20	20	dp53	9093	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3	1	1	Y	LUA-4081	-666	epsilon
205067_at	Analyte 20	20	dp52	3553	IL1B	interleukin 1, beta	1	1	Y	LUA-4352	-666	epsilon
