	01.0	03.162	03.162278	10.0
H3K4me0	0.102302807709	0.00426361955207	-0.415921114628	-0.586784896759
H3K4me1	0.457160485434	0.969457431307	0.402433627087	0.583360735009
H3K4me2	0.466229944964	0.773666390658	0.480441857568	0.436209306575
H3K4me3	0.456906694673	0.637925556918	0.385519062805	0.261364439227
H3K4ac1	0.362430394132	0.883942183074	0.520435522078	0.819232261767
H3K9me0K14ac0	-0.168042799024	-0.67174522879	-0.71508932661	-1.72041096165
H3K9me1K14ac0	-0.500538346609	-0.996626849494	-0.947514536992	-2.10367396691
H3K9me2K14ac0	-0.39847404356	-0.944430851776	-1.10912950562	-1.97070932865
H3K9me3K14ac0	0.0407609119721	-0.448961003796	-0.499559525457	-1.35653410504
H3K9ac1K14ac0	1.19869232973	1.85835770818	2.0394270951	2.08671863783
H3K9me0K14ac1	0.86167968005	1.02169626294	1.22419466315	1.24728582328
H3K9me1K14ac1	0.794806173957	0.965182219155	1.13859084094	0.952446404923
H3K9me2K14ac1	0.745631670449	0.895996195808	1.14455170213	0.992685163399
H3K9me3K14ac1	0.913177779097	1.61405717708	1.51241300838	1.67462104814
H3K9ac1K14ac1	2.60528569711	3.98607892326	4.19892934878	5.30351240239
H3K9me2S10ph1K14ac0	-1.31817791062			
H3K9me3S10ph1K14ac0	-0.845742652772			
H3K9me2S10ph1K14ac1	-0.206538520462		-1.54601606847	
H3K18ac0K23ac0	0.118584723395	-0.361674129042	-0.596839157175	-1.56383279678
H3K18ac1K23ac0	1.34378753402	2.08268700286	2.18100804147	2.14811422535
H3K18ac0K23ac1	0.827586908399	1.31758139861	1.40666980215	1.25134370031
H3K18ac1K23ac1	2.19649027972	3.82185684752	3.94782193555	4.98018746452
H3K18ub1K23ac0	-0.0851556046549			
H3K27me0K36me0	0.0123921724767	-0.541793826812	-0.787176196592	-0.700842010303
H3K27me1K36me0	-0.0652767116785	-0.283059466263	-0.127161303901	-0.388280647907
H3K27me1K36me1	-0.417434719785	-0.803341020776	-0.997936679801	-1.1924862648
H3K27me1K36me2	-0.418453179905	-0.457789339864	-0.259891917959	-0.52474463305
H3K27me1K36me3	0.198571216991	0.0798623406909	0.206354742511	-0.296661367753
H3K27me2K36me0	0.10735932237	0.178546901557	0.0413997134228	0.153156222456
H3K27me2K36me1	-0.0125092245273	0.0336056761191	0.133320716247	0.0622340392568
H3K27me2K36me2	0.272269550505	0.0886189689861	0.552390401393	0.439777923912
H3K27me3K36me0	0.285442271812	0.583501264437	0.700604157531	0.576224677921
H3K27me3K36me1	0.373134937331	0.743149043979	0.576182335733	0.536820308216
H3K27ac1K36me0	0.858701535317	1.17067821708	1.48126261787	2.03463508967
H3K27ac1K36me1	0.748265814115	1.58156132531	1.59885179751	2.69466311435
H3K27ac1K36me2	1.42920411793	2.93541658069	2.97502773976	3.918515688
H3K27ac1K36me3	1.63821605931	3.03191188122	2.9808704618	3.80155744688
H3.3K27me0K36me0	0.257818240501	0.517591460513	0.784973096613	0.438647198746
H3NORM(41-49)	0.00903208982521	0.0365913744614	0.0754334088244	-0.057566291712
H3K56me0	0.0434417828457	0.0158045877339	0.0643472892594	-0.132850030294
H3K79me0	-0.0819753030601	-0.264454960158	0.0190330600828	0.0877678439175
H3K79me1	-0.130045181598	-0.141380217582	0.0349741465604	0.405771613488
H3K79me2	-0.0683447346238	-0.351785094504	0.31827771959	0.23660623632
H3K27me0K36me1	-0.560755542692	-1.36672895195	-1.35001417518	-1.70799534807
H3K27me0K36me2	-0.527735579203	-0.82050292409	-0.676010042772	-1.2588322363
H3K27me0K36me3	-0.114117376328	-0.468804484987	-0.368999862981	-1.08653777428
